School,Program,Level,Added on,Decision,GPA,GRE V,GRE Q,GRE AW,Comment
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,,,,,"No interview. Agreed that ""They couldn't have sent a more generic message"" [facepalm]"
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science - Data Science),Masters,"November 30, 2001",Rejected,,,,,"Top 5% of my class, first class degree (>85%), two internships (one in Data Science research), 3 strong LORs, a lot of extracurricular activities. Didn't expect this, especially as I got into ETH (no scholarship though :( )"
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,,,,,I guess I'm stuck in Africa forever.
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science - Data Science,Masters,"November 30, 2001",Rejected,3.65,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science ),Masters,"November 30, 2001",Rejected,3.75,147,,3.50,
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science,Masters,"November 30, 2001",Accepted,,,,,"If I hit the lottery, I will be there for sure! I wonder what happens when people who have been awarded the excellence fellowship decides not to attend. Do they give the scholarship to someone else?"
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science - Data Science,Masters,"November 30, 2001",Accepted,9.60,,,,Finally an admit! 2 years work experience at Adobe. I international research internship. 1 industrial research internship at Adobe Research. Good letter of recommendations ( I guess ). Waiting for scholarship decision.
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science - Data Science,Masters,"November 30, 2001",Rejected,,,,,"73% , no gre, 7 band in IELTS, no research, no publications, done some courses in Coursera and submitted to them"
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science - Data Science,Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science ),Masters,"November 30, 2001",Accepted,4.00,,,,"98.6/100 GPA, IELTS - 7, GRE Quant - 168, 2 internships - summer internship at CERN and engineering internship at the top company in the home country, 1 excellent and 2 average recommendation letters."
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science ),Masters,"November 30, 2001",Accepted,4.00,,,,"98.6/100 GPA, IELTS - 7, GRE Quant - 168, 2 internships - summer internship at CERN and engineering internship at the top company in the home country, 1 excellent and 2 average recommendation letters."
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science - Data Science),Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science ),Masters,"November 30, 2001",Accepted,3.96,,,,"I thought I was waitlisted, since I didn't receive the decision yesterday. Now it came! Rejected from the fellowship though. Anyone knows when the research scholarship will be awarded?"
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science ) MS,Masters,"November 30, 2001",Rejected,,,,,"EPFL tried to fuck me for a second time, I'm glad that I have already been admitted to a University in London that ranks higher than EPFL. I got my ass covered. Here is the generic rejection message by the way: Dear Sir, We are sorry to let you know that, following a careful assessment of your request, your application to one of EPFL's Master's programs has been rejected by the Admissions Board (Federal Act on the Federal Institutes of Technology and art. 11 of the Ordinance on Admission to EPFL. Because of the high number of requests and the school's requirements, once again this year the commission has had to refuse many valuable requests. We thank you for your interest in EPFL and wish you every success in your further career."
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science - Data Science),Masters,"November 30, 2001",Accepted,,,,,8.85/10 GPA top of class. 4 years working experience in CS. TOEFL 107. No GRE. Strong LORs.
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science ) MS,Masters,"November 30, 2001",Accepted,3.62,,,,"1 first author conference paper, 1 research internship, several research experiences at my university, no GRE, all LORs are from professors that I worked with. I dropped my GPA during the exchange.No fellowship.Does anyone know when the research scholarship will be awarded?(Or has it already been awarded? :) )"
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Accepted,,,,,Cannot confirm my enrollment as well.
Ecole Polytechnique Federale De Lausanne (EPFL),"Computer Science, Data Science",Masters,"November 30, 2001",Accepted,,,,,Confirmation does not work for me either. I have also sent an email to student services (no answer)
Ecole Polytechnique Federale De Lausanne (EPFL),(Computer Science,Masters,"November 30, 2001",Rejected,3.85,147,,3.50,"Contacted professor, rejected with a standard mail - stating about high competition."
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Accepted,,,,,Can this acceptance email be more general?
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Accepted,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Accepted,,,,,waiting for the scholarship results.
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,3.83,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,3.50,161,,4.00,Generic Reject. 8th in a row.
,,,,,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Accepted,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,,160,,4.50,
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Rejected,,,,,As expected. They only care about grades :/
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Accepted,,,,,"Accepted for the Master, rejected for the fellowship. Did anyone get the fellowship?"
Ecole Polytechnique Federale De Lausanne (EPFL),Computer Science,Masters,"November 30, 2001",Accepted,,,,,
Ecole Polytechnique Federale De Lausanne (EPFL),"Computer And Communication Sciences (IC), Communication Systems",Masters,"November 30, 2001",Accepted,,,,,"Waitlisted for Excellence Fellowship, a little disappointed :( Have no idea what is the chance of being awarded finally, is that possible if I ask them about my position in the list?"
